model_run_name,checkpoint_step,language,source_file,item_id,hotspot_text,context,null_hotspot_avg_surprisal,overt_hotspot_avg_surprisal,difference_score
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,1, shows, marta won the award .,10.564543724060059,10.604120254516602,-0.03957653045654297
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,2, respects, the professor grades assignments .,8.128505229949951,8.205829620361328,-0.07732439041137695
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,3, requires, the car broke down .,10.365401268005371,10.521923065185547,-0.15652179718017578
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,4, looks, paolo missed his flight .,10.600235939025879,10.833459854125977,-0.23322391510009766
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,5, lasts, the meeting ended .,7.682391166687012,,
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,6, disturbs, the dog barks .,8.04926609992981,8.207975387573242,-0.15870928764343262
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,7, keeps, sofia buys a gift .,10.697949409484863,10.534990310668945,0.16295909881591797
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,8, costs, the concert is canceled .,11.04126262664795,11.127437591552734,-0.08617496490478516
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,9, apologizes, the child breaks the vase .,8.38022780418396,8.379909038543701,0.00031876564025878906
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,10, stays, the pizza burns .,10.781927108764648,10.967691421508789,-0.18576431274414062
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,11, returns, luca forgets his keys .,10.9790678024292,11.136030197143555,-0.15696239471435547
10_25_it_eng,checkpoint-101,english,1a_3rdSG.csv,12, contains, the letter arrives .,10.805481910705566,10.913568496704102,-0.10808658599853516
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,1, mostra, marta ha vinto il premio .,9.951911926269531,9.536495208740234,0.4154167175292969
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,2, rispetta, il professore corregge i compiti .,11.00606918334961,10.961467742919922,0.0446014404296875
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,3, richiede, la macchina si è rotta .,9.502312660217285,9.30627155303955,0.19604110717773438
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,4, cerca, paolo ha perso il volo .,9.47413158416748,9.048779487609863,0.4253520965576172
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,5, dura, la riunione è finita .,8.778675079345703,8.984750747680664,-0.20607566833496094
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,6, disturba, il cane abbaia .,10.879889488220215,11.161075592041016,-0.2811861038208008
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,7, tiene, sofia compra un regalo .,11.107576370239258,10.283005714416504,0.8245706558227539
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,8, costa, il concerto è annullato .,10.199370384216309,10.120604515075684,0.078765869140625
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,9, chiede, il bambino rompe il vaso .,9.181961059570312,9.799160957336426,-0.6171998977661133
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,10, resta, la pizza brucia .,9.464865684509277,8.766732215881348,0.6981334686279297
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,11, torna, luca dimentica le chiavi .,8.918394088745117,9.163459777832031,-0.24506568908691406
10_25_it_eng,checkpoint-101,italian,1a_3rdSG.csv,12, contiente, la lettera arriva .,,,
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,1, called, the tourists missed the bus .,10.31935977935791,10.341093063354492,-0.02173328399658203
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,2, were, the keys disappeared .,10.402095794677734,10.59383487701416,-0.19173908233642578
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,3, want, the students protested .,10.24692153930664,10.451066970825195,-0.2041454315185547
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,4, will, the documents are ready .,10.091510772705078,10.1033296585083,-0.011818885803222656
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,5, can, the children finished their homework .,7.982438087463379,8.085134506225586,-0.10269641876220703
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,6, didn ' t, the plants wilted .,,,
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,7, prefer, the colleagues criticized the plan .,10.356764793395996,10.225895881652832,0.13086891174316406
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,8, let, the windows were open .,8.706360816955566,8.77148151397705,-0.06512069702148438
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,9, are, the guests have arrived .,9.339309692382812,9.306427955627441,0.032881736755371094
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,10, need, the emails contain mistakes .,10.445084571838379,10.574777603149414,-0.12969303131103516
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,11, were, the books fell .,10.372442245483398,10.567841529846191,-0.19539928436279297
10_25_it_eng,checkpoint-101,english,1b_3rdPL.csv,12, got, the shoes are wet .,10.566059112548828,10.65857219696045,-0.0925130844116211
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,1, hanno, i turisti hanno perso l ’ autobus .,8.908618927001953,8.411581039428711,0.4970378875732422
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,2, erano, le chiavi sono sparite .,9.221603393554688,8.553503036499023,0.6681003570556641
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,3, vogliono, gli studenti hanno protestato .,10.275873184204102,10.693565368652344,-0.4176921844482422
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,4, saranno, i documenti sono pronti .,9.105913162231445,9.476517677307129,-0.3706045150756836
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,5, possono, i bambini hanno finito i compiti .,9.58483600616455,8.928032875061035,0.6568031311035156
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,6, non hanno, le piante sono appassite .,6.997121095657349,6.731503963470459,0.26561713218688965
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,7, preferiscono, i colleghi hanno criticato il piano .,8.081002950668335,8.691643714904785,-0.6106407642364502
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,8, hanno, le finestre erano aperte .,8.229744911193848,8.29819107055664,-0.06844615936279297
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,9, stanno, gli ospiti sono arrivati .,8.531588554382324,8.276896476745605,0.25469207763671875
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,10, devono, le email contengono errori .,9.498161315917969,9.400002479553223,0.0981588363647461
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,11, erano, i libri sono caduti .,9.706907272338867,9.446148872375488,0.2607583999633789
10_25_it_eng,checkpoint-101,italian,1b_3rdPL.csv,12, hanno, le scarpe sono bagnate .,8.99044418334961,8.823034286499023,0.16740989685058594
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,1, take," luca , you forget the keys often .",10.044695854187012,10.069343566894531,-0.02464771270751953
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,2, prefer," marco , you see the new movie tonight .",10.593687057495117,10.322724342346191,0.2709627151489258
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,3, use," sara , you cook dinner quickly .",9.364924430847168,9.343790054321289,0.021134376525878906
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,4, include," giulia , you finish the report today .",10.812673568725586,10.898652076721191,-0.08597850799560547
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,5, consider," paolo , you choose the gift tonight .",10.843082427978516,11.045355796813965,-0.20227336883544922
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,6, appreciate," elena , you listen to the new song .",10.93183422088623,11.079023361206055,-0.14718914031982422
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,7, find," roberto , you read the recommended book .",10.942093849182129,11.084065437316895,-0.14197158813476562
10_25_it_eng,checkpoint-101,english,2a_2ndSG.csv,8, select," laura , you order the food for the party .",10.758350372314453,10.771865844726562,-0.013515472412109375
